"","Strain","env","Mean_GR","Std_err"
"129","LK3-G08","30SC7",0.184274815954315,0.00125588492296256
"130","LK3-G08","37SC3",0.259285034660184,0.00219719338935074
"131","LK3-G08","37SC5",0.315662353530501,0.0014302563773353
"132","LK3-G08","37SC7",0.0832297252080131,0.00594438030066602
"133","LK3-H11","30SC3",0.251460692513449,0.00142547354929099
"134","LK3-H11","30SC5",0.313126237048494,0.00134999884594213
"135","LK3-H11","30SC7",0.26086999170216,0.00136151906082897
"136","LK3-H11","37SC3",0.2702002478056,0.00190706556368742
"137","LK3-H11","37SC5",0.278886271499341,0.00202978656937958
"138","LK3-H11","37SC7",0.292739685857144,0.0011934552317917
"139","LK4-B01","30SC3",0.188479186613386,0.000834629773171438
"140","LK4-B01","30SC5",0.270561697664845,0.000993077395985977
"141","LK4-B01","30SC7",0.185887068027549,0.000875119235229914
"142","LK4-B01","37SC3",0.271135127151093,0.00102063033970566
"143","LK4-B01","37SC5",0.255402154575761,0.0014727918458673
"144","LK4-B01","37SC7",0.213878528062837,0.00109296863340229
"145","LK4-B12","30SC3",0.083167941090523,0.00386586404283717
"146","LK4-B12","30SC5",0.142996502841267,0.00249756594345382
"147","LK4-B12","30SC7",0.15234354992226,0.00116279710731262
"148","LK4-B12","37SC3",0.208536032243241,0.00206791932259637
"149","LK4-B12","37SC5",0.263637042433174,0.00175348527488027
"150","LK4-B12","37SC7",0.260594863984006,0.000765029888845055
"151","LK4-D11","30SC3",0.130425391155605,0.00176036811018899
"152","LK4-D11","30SC5",0.294196334195442,0.00168455416976891
"153","LK4-D11","30SC7",0.214157769815787,0.00133040022255745
"154","LK4-D11","37SC3",0.244074494795139,0.00133180789071049
"155","LK4-D11","37SC5",0.25423948291249,0.00137621948098992
"156","LK4-D11","37SC7",0.0634058106777846,0.0032514500591769
"157","LK4-H11","30SC3",0.104398172111585,0.00297778907169657
"158","LK4-H11","30SC5",0.179653343074947,0.00511346790888152
"159","LK4-H11","30SC7",0.168236311625754,0.0012761778658596
"160","LK4-H11","37SC3",0.228135629560693,0.00219147921396716
"161","LK4-H11","37SC5",0.279300611361369,0.00225682402913457
"162","LK4-H11","37SC7",0.143859738364012,0.00289435539056069
"163","LK5-C01","30SC3",0.133728643508895,0.00430911818658118
"164","LK5-C01","30SC5",0.231884105406787,0.00176100688500058
"165","LK5-C01","30SC7",0.184601875065251,0.00122234649213661
"166","LK5-C01","37SC5",0.291872750926146,0.00735501727004047
"167","LK5-C04","30SC3",0.152856437184433,0.00126334330318988
"168","LK5-C04","30SC5",0.195370101776626,0.00155099121776399
"169","LK5-C04","30SC7",0.186528324150184,0.000765231330650404
"170","LK5-C04","37SC3",0.285282074580314,0.000760300004591773
"171","LK5-C04","37SC5",0.33346467095277,0.000937737675623191
"172","LK5-C04","37SC7",0.135815797437816,0.00222551152617457
"173","LK5-C11","30SC3",0.157611256031147,0.00149591248906523
"174","LK5-C11","30SC5",0.227704783496283,0.00144603022391588
